,Year,Date,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
311,2001,2001-06-14,126,Huddinge,3,0.0003,6,14,19.7,4.0
312,2001,2001-06-14,188,Norrtälje,60000,6.0,6,14,13.530434782608696,3.0869565217391304
313,2001,2001-06-14,1764,Grums,100,0.01,6,14,14.34,3.0
314,2001,2001-06-14,484,Eskilstuna,3,0.0003,6,14,18.341666666666665,4.0
315,2001,2001-06-14,484,Eskilstuna,1,0.0001,6,14,18.341666666666665,4.0
316,2001,2001-06-15,180,Stockholm,2,0.0002,6,15,27.4,5.5
317,2001,2001-06-15,180,Stockholm,15,0.0015,6,15,27.4,5.5
318,2001,2001-06-15,180,Stockholm,4,0.0004,6,15,27.4,5.5
319,2001,2001-06-15,163,Sollentuna,9,0.0009,6,15,25.0,5.0
320,2001,2001-06-15,163,Sollentuna,15000,1.5,6,15,25.0,5.0
321,2001,2001-06-15,181,Södertälje,30,0.003,6,15,17.759999999999998,3.8
322,2001,2001-06-15,1480,Göteborg,1,0.0001,6,15,5.64,2.0
